source,target,weight
31288,31243,7.0
31288,31628,2.0
31288,31281,2.0
31288,31277,16.0
31288,31232,10.0
31288,31289,70.0
31288,31290,24.0
31288,31615,4.0
31288,31249,13.0
31288,31272,8.0
31288,31247,31.0
31288,31603,5.0
31288,31646,6.0
31288,31265,1.0
31288,31600,2.0
31288,31108,10.0
31288,31609,4.0
31288,31230,6.0
31288,31219,6.0
31288,31258,64.0
31288,31248,53.0
31288,31271,8.0
31288,31215,9.0
31288,31295,4.0
31288,31613,4.0
31288,31246,1.0
31288,31241,3.0
31288,31229,1.0
31288,31227,1.0
31288,31201,1.0
31288,31321,27.0
31288,31064,1.0
31288,31233,6.0
31288,31627,5.0
31288,31129,38.0
31288,31200,1.0
31288,31623,9.0
31288,31228,9.0
31248,31289,22.0
31248,31228,4.0
31248,31609,2.0
31248,31646,10.0
31248,31321,5.0
31248,31623,10.0
31248,31290,35.0
31248,31249,22.0
31248,31627,3.0
31248,31214,1.0
31248,31628,2.0
31248,31288,45.0
31248,31603,1.0
31248,31129,4.0
31248,31266,1.0
31248,31243,2.0
31248,31230,11.0
31248,31108,10.0
31248,31615,1.0
31248,31271,12.0
31248,31201,1.0
31248,31203,2.0
31248,31219,5.0
31248,31258,47.0
31248,31277,7.0
31248,31247,24.0
31248,31232,2.0
31248,31215,2.0
31248,31272,6.0
31258,31241,5.0
31258,31603,3.0
31258,31215,11.0
31258,31609,1.0
31258,31230,10.0
31258,31129,30.0
31258,31227,6.0
31258,31628,1.0
31258,31281,3.0
31258,31277,41.0
31258,31257,19.0
31258,31232,13.0
31258,31108,3.0
31258,31128,3.0
31258,31200,2.0
31258,31271,22.0
31258,31290,44.0
31258,31600,2.0
31258,31623,10.0
31258,31289,16.0
31258,31233,3.0
31258,31212,5.0
31258,31203,2.0
31258,31272,10.0
31258,31646,10.0
31258,31613,2.0
31258,31295,1.0
31258,31228,8.0
31258,31627,1.0
31258,31247,57.0
31258,31288,67.0
31258,31321,23.0
31258,31219,12.0
31258,31243,6.0
31258,31249,110.0
31258,31248,18.0
31258,31014,2.0
31258,31246,1.0
31258,31314,1.0
31228,31272,4.0
31228,31227,8.0
31228,31290,1.0
31228,31246,3.0
31228,31289,3.0
31228,31623,14.0
31228,31232,17.0
31228,31128,11.0
31228,31230,25.0
31228,31613,1.0
31228,31288,4.0
31228,31233,13.0
31228,31215,2.0
31228,31281,11.0
31228,31295,1.0
31228,31200,4.0
31228,31229,6.0
31228,31110,2.0
31228,31129,5.0
31228,31603,20.0
31228,31203,14.0
31228,31609,7.0
31228,31101,11.0
31228,31265,11.0
31228,31248,5.0
31228,31266,20.0
31228,31321,1.0
31228,31628,1.0
31228,31627,3.0
31228,31219,1.0
31228,31108,11.0
31228,31646,8.0
31228,31258,5.0
31228,31615,8.0
31228,31271,4.0
31228,31201,8.0
31228,31212,5.0
31228,31600,33.0
31228,31247,2.0
31228,31241,13.0
31228,31214,4.0
31228,31277,9.0
31228,31257,1.0
31230,31603,15.0
31230,31232,25.0
31230,31265,35.0
31230,31201,13.0
31230,31247,6.0
31230,31228,32.0
31230,31623,5.0
31230,31271,4.0
31230,31214,19.0
31230,31290,3.0
31230,31258,7.0
31230,31215,1.0
31230,31108,11.0
31230,31613,1.0
31230,31289,6.0
31230,31266,57.0
31230,31277,8.0
31230,31129,2.0
31230,31628,9.0
31230,31257,4.0
31230,31200,3.0
31230,31615,3.0
31230,31203,13.0
31230,31101,12.0
31230,31110,7.0
31230,31281,17.0
31230,31288,6.0
31230,31600,32.0
31230,31627,2.0
31230,31246,6.0
31230,31248,3.0
31230,31128,5.0
31230,31212,5.0
31230,31241,9.0
31230,31229,7.0
31230,31249,1.0
31230,31219,2.0
31230,31233,5.0
31230,31321,2.0
31200,31212,12.0
31200,31227,4.0
31200,31230,4.0
31200,31265,2.0
31200,31271,3.0
31200,31272,1.0
31200,31108,1.0
31200,31603,1.0
31200,31101,89.0
31200,31241,22.0
31200,31266,7.0
31200,31295,9.0
31200,31203,28.0
31200,31110,26.0
31200,31628,1.0
31200,31229,106.0
31200,31233,10.0
31200,31246,39.0
31200,31257,17.0
31200,31646,1.0
31200,31600,7.0
31200,31314,12.0
31200,31129,5.0
31200,31289,3.0
31200,31014,3.0
31200,31258,2.0
31200,31623,2.0
31200,31228,5.0
31200,31215,20.0
31200,31201,74.0
31200,31288,1.0
31200,31277,12.0
31200,31609,2.0
31200,31321,2.0
31200,31281,29.0
31200,31128,29.0
31200,31214,44.0
31200,31615,1.0
31200,31627,4.0
31232,31314,1.0
